Search_method Problem Max_evals Run Score
2pt_xo_random 16_200_1000_4 1000 1 -8514
2pt_xo_random 16_200_1000_4 1000 2 -12761
2pt_xo_random 16_200_1000_4 1000 3 -7267
2pt_xo_random 16_200_1000_4 1000 4 -7664
2pt_xo_random 16_200_1000_4 1000 5 -7814
2pt_xo_random 16_200_1000_4 1000 6 -8235
2pt_xo_random 16_200_1000_4 1000 7 -8518
2pt_xo_random 16_200_1000_4 1000 8 -6181
2pt_xo_random 16_200_1000_4 1000 9 -10715
2pt_xo_random 16_1000_1000_3 1000 0 -135615
2pt_xo_random 16_1000_1000_3 1000 1 -131338
2pt_xo_random 16_1000_1000_3 1000 2 -120123
2pt_xo_random 16_1000_1000_3 1000 3 -142824
2pt_xo_random 16_1000_1000_3 1000 4 -133496
2pt_xo_random 16_1000_1000_3 1000 5 -131559
2pt_xo_random 16_1000_1000_3 1000 6 -127642
2pt_xo_random 16_1000_1000_3 1000 7 -126930
2pt_xo_random 16_1000_1000_3 1000 8 -141155
2pt_xo_random 16_1000_1000_3 1000 9 -141232
2pt_xo_greedy 11_20_1000_4 1000 0 1440
2pt_xo_greedy 11_20_1000_4 1000 1 1440
2pt_xo_greedy 11_20_1000_4 1000 2 1440
2pt_xo_greedy 11_20_1000_4 1000 3 1440
2pt_xo_greedy 11_20_1000_4 1000 4 1440
2pt_xo_greedy 11_20_1000_4 1000 5 1440
2pt_xo_greedy 11_20_1000_4 1000 6 1440
2pt_xo_greedy 11_20_1000_4 1000 7 1440
2pt_xo_greedy 11_20_1000_4 1000 8 1440
2pt_xo_greedy 11_20_1000_4 1000 9 1440
2pt_xo_greedy 13_20_1000_4 1000 0 907
2pt_xo_greedy 13_20_1000_4 1000 1 907
2pt_xo_greedy 13_20_1000_4 1000 2 907
2pt_xo_greedy 13_20_1000_4 1000 3 907
2pt_xo_greedy 13_20_1000_4 1000 4 907
2pt_xo_greedy 13_20_1000_4 1000 5 907
2pt_xo_greedy 13_20_1000_4 1000 6 907
2pt_xo_greedy 13_20_1000_4 1000 7 907
2pt_xo_greedy 13_20_1000_4 1000 8 907
2pt_xo_greedy 13_20_1000_4 1000 9 907
2pt_xo_greedy 16_20_1000_4 1000 0 2864
2pt_xo_greedy 16_20_1000_4 1000 1 2893
2pt_xo_greedy 16_20_1000_4 1000 2 2893
2pt_xo_greedy 16_20_1000_4 1000 3 2893
2pt_xo_greedy 16_20_1000_4 1000 4 2893
2pt_xo_greedy 16_20_1000_4 1000 5 2886
2pt_xo_greedy 16_20_1000_4 1000 6 2893
2pt_xo_greedy 16_20_1000_4 1000 7 2886
2pt_xo_greedy 16_20_1000_4 1000 8 2864
2pt_xo_greedy 16_20_1000_4 1000 9 2893
2pt_xo_greedy 11_200_1000_4 1000 0 5180
2pt_xo_greedy 11_200_1000_4 1000 1 5180
2pt_xo_greedy 11_200_1000_4 1000 2 5180
2pt_xo_greedy 11_200_1000_4 1000 3 5140
2pt_xo_greedy 11_200_1000_4 1000 4 5180
2pt_xo_greedy 11_200_1000_4 1000 5 5140
